,Unnamed: 0.1,Unnamed: 0,chunk,질의응답,vector,vector2
0,0,,"정관
제1장  총  칙
제1조(명칭) 이 법인은 재단법인 연구개발특구진흥재단(이하 “진흥재단”이라 한다)이라 칭한다. (

제2조(목적) 진흥재단은「연구개발특구의 육성에 관한 특별법」(이하 “법”이라 한다)에 따른 연구개발특구(이하 “특구”라 한다)의 육성을 위한 사업의 효율적 추진을 목적으로 한다. (

제3조(소재지) 진흥재단은 주된 사무소를 대전광역시에 두고 필요한 경우 지원시설, 부설기관, 분사무소, 해외사무소 등을 둘 수 있다. (","1) 재단법인 연구개발특구진흥재단의 명칭은 무엇인가요?

",,
,,,"정관
제1장  총  칙
제1조(명칭) 이 법인은 재단법인 연구개발특구진흥재단(이하 “진흥재단”이라 한다)이라 칭한다. (

제2조(목적) 진흥재단은「연구개발특구의 육성에 관한 특별법」(이하 “법”이라 한다)에 따른 연구개발특구(이하 “특구”라 한다)의 육성을 위한 사업의 효율적 추진을 목적으로 한다. (

제3조(소재지) 진흥재단은 주된 사무소를 대전광역시에 두고 필요한 경우 지원시설, 부설기관, 분사무소, 해외사무소 등을 둘 수 있다. (",2) 재단법인 연구개발특구진흥재단의 주요 목적은 무엇인가요?,,
,,,"정관
제1장  총  칙
제1조(명칭) 이 법인은 재단법인 연구개발특구진흥재단(이하 “진흥재단”이라 한다)이라 칭한다. (

제2조(목적) 진흥재단은「연구개발특구의 육성에 관한 특별법」(이하 “법”이라 한다)에 따른 연구개발특구(이하 “특구”라 한다)의 육성을 위한 사업의 효율적 추진을 목적으로 한다. (

제3조(소재지) 진흥재단은 주된 사무소를 대전광역시에 두고 필요한 경우 지원시설, 부설기관, 분사무소, 해외사무소 등을 둘 수 있다. (",3) 재단법인 연구개발특구진흥재단의 주된 사무소는 어디에 위치하고 있나요?,,
1,1,,"제4조(사업) ① 진흥재단은 제2조의 목적을 달성하기 위하여 다음의 사업을 수행한다. (
   1. 특구의 개발 및 관리ㆍ운영과 관련된 다음 각목의 사업 (
    가. 토지·건물, 연구개발 관련 시설 및 기자재에 대한 취득․개발․공급 및 관리 (
    나. 용수, 에너지, 정보통신, 교통 및 유통 시설 등 기반시설의 설치          (
    다. 학교와 병원 등 특구의 생활환경의 개선을 위한 교육ㆍ보건의료ㆍ문화ㆍ체육ㆍ복지 시설의 유치ㆍ설치 및 관리ㆍ운영 (
    라. 연구개발 성과물의 전시ㆍ홍보, 과학기술 인식 향상을 위한 시설의 설치 및 유치 (
    마. 특구관리계획의 수립 지원 및 그 집행에 관한 업무 (
    바. 교육ㆍ연구 및 사업화 시설구역과 산업시설구역에서의 매각, 임대, 그 사후관리 및 입주에 관한 업무 (
    사. 특구 구조고도화에 관한 업무 (
    아. 환경친화적 특구의 구축 및 환경오염방지에 관한 업무 (
    자. 그 밖에 입주기업체ㆍ입주기관의 활동지원 등 특구의 운영에 필요한 업무 
       (","1. 진흥재단이 수행하는 사업들은 무엇인가요?

",,
,,,"제4조(사업) ① 진흥재단은 제2조의 목적을 달성하기 위하여 다음의 사업을 수행한다. (
   1. 특구의 개발 및 관리ㆍ운영과 관련된 다음 각목의 사업 (
    가. 토지·건물, 연구개발 관련 시설 및 기자재에 대한 취득․개발․공급 및 관리 (
    나. 용수, 에너지, 정보통신, 교통 및 유통 시설 등 기반시설의 설치          (
    다. 학교와 병원 등 특구의 생활환경의 개선을 위한 교육ㆍ보건의료ㆍ문화ㆍ체육ㆍ복지 시설의 유치ㆍ설치 및 관리ㆍ운영 (
    라. 연구개발 성과물의 전시ㆍ홍보, 과학기술 인식 향상을 위한 시설의 설치 및 유치 (
    마. 특구관리계획의 수립 지원 및 그 집행에 관한 업무 (
    바. 교육ㆍ연구 및 사업화 시설구역과 산업시설구역에서의 매각, 임대, 그 사후관리 및 입주에 관한 업무 (
    사. 특구 구조고도화에 관한 업무 (
    아. 환경친화적 특구의 구축 및 환경오염방지에 관한 업무 (
    자. 그 밖에 입주기업체ㆍ입주기관의 활동지원 등 특구의 운영에 필요한 업무 
       (",2. 특구의 생활환경 개선을 위해 진흥재단이 어떤 시설을 설치하고 관리하나요?,,
,,,"제4조(사업) ① 진흥재단은 제2조의 목적을 달성하기 위하여 다음의 사업을 수행한다. (
   1. 특구의 개발 및 관리ㆍ운영과 관련된 다음 각목의 사업 (
    가. 토지·건물, 연구개발 관련 시설 및 기자재에 대한 취득․개발․공급 및 관리 (
    나. 용수, 에너지, 정보통신, 교통 및 유통 시설 등 기반시설의 설치          (
    다. 학교와 병원 등 특구의 생활환경의 개선을 위한 교육ㆍ보건의료ㆍ문화ㆍ체육ㆍ복지 시설의 유치ㆍ설치 및 관리ㆍ운영 (
    라. 연구개발 성과물의 전시ㆍ홍보, 과학기술 인식 향상을 위한 시설의 설치 및 유치 (
    마. 특구관리계획의 수립 지원 및 그 집행에 관한 업무 (
    바. 교육ㆍ연구 및 사업화 시설구역과 산업시설구역에서의 매각, 임대, 그 사후관리 및 입주에 관한 업무 (
    사. 특구 구조고도화에 관한 업무 (
    아. 환경친화적 특구의 구축 및 환경오염방지에 관한 업무 (
    자. 그 밖에 입주기업체ㆍ입주기관의 활동지원 등 특구의 운영에 필요한 업무 
       (",3. 진흥재단이 특구의 운영에 필요한 업무를 수행하기 위해 어떤 활동을 지원하나요?,,
2,2,," 2. 특구의 연구개발과 그 사업화를 촉진하기 위한 다음 각목의 사업 (
    가. 특구육성사업의 추진에 대한 지원 (
    나. 대학·연구소 및 기업 사이의 교류 증진
    다. 지적재산권 관리에 대한 지원
    라. 교수·연구원 등에 대한 창업 지원
    마. 사업화 관련 사업에 대한 지원 (
    바. 연구개발 전문 인력과 사업화 지원 인력의 양성 및 교육 (
    사. 기업 등에 대한 경영지원 서비스 제공
    아. 법 제17조 각 호의 기업 또는 회사에 대한 투자를 목적으로 결성된 투자조합에의 참여 (","1. 특구의 연구개발과 사업화를 촉진하기 위한 사업들에는 어떤 것들이 있나요?

",,
,,," 2. 특구의 연구개발과 그 사업화를 촉진하기 위한 다음 각목의 사업 (
    가. 특구육성사업의 추진에 대한 지원 (
    나. 대학·연구소 및 기업 사이의 교류 증진
    다. 지적재산권 관리에 대한 지원
    라. 교수·연구원 등에 대한 창업 지원
    마. 사업화 관련 사업에 대한 지원 (
    바. 연구개발 전문 인력과 사업화 지원 인력의 양성 및 교육 (
    사. 기업 등에 대한 경영지원 서비스 제공
    아. 법 제17조 각 호의 기업 또는 회사에 대한 투자를 목적으로 결성된 투자조합에의 참여 (",2. 특구육성사업의 추진에 대한 지원이란 어떤 것을 의미하나요?,,
,,," 2. 특구의 연구개발과 그 사업화를 촉진하기 위한 다음 각목의 사업 (
    가. 특구육성사업의 추진에 대한 지원 (
    나. 대학·연구소 및 기업 사이의 교류 증진
    다. 지적재산권 관리에 대한 지원
    라. 교수·연구원 등에 대한 창업 지원
    마. 사업화 관련 사업에 대한 지원 (
    바. 연구개발 전문 인력과 사업화 지원 인력의 양성 및 교육 (
    사. 기업 등에 대한 경영지원 서비스 제공
    아. 법 제17조 각 호의 기업 또는 회사에 대한 투자를 목적으로 결성된 투자조합에의 참여 (",3. 법 제17조 각 호의 기업 또는 회사에 대한 투자를 목적으로 결성된 투자조합에의 참여란 어떤 것을 의미하나요?,,
3,3,,"3. 특구와 관련된 다음 각목의 투자유치사업
    가. 국내외 투자유치와 이를 위한 마케팅 및 홍보
    나. 국내외 투자자에 대한 상담·안내·홍보·조사와 민원사무의 처리대행 등 종합적 지원
    다. 그 밖에 내국인과 외국인 투자지원을 위하여 필요한 사항
   4. 과학기술정보통신부장관이 정하는 수익사업 ( 
   5. 직장어린이집 설치‧운영에 관한 지원 (
   6. 그 밖에 과학기술정보통신부장관, 관계 중앙행정기관의 장 또는 관할 지방자치단체의 장이 위탁하는 업무 (
   7. 그 밖에 진흥재단의 설립목적 달성을 위하여 필요한 사항 (
  ② 진흥재단은 특구의 특성화ㆍ차별화된 발전을 지원하고 특구육성사업을 효율적으로 추진하기 위하여 특구별로 지원조직을 설치하여야 한다. (","1. 특구와 관련된 투자유치사업에는 어떤 것들이 포함되어 있나요?

",,
